127.0.0.1 - - [20/Nov/2023:20:17:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:17:58 +0900] "GET /bookshop01/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:17:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:18:58 +0900] "GET /bookshop01/main/main.do HTTP/1.1" 500 54298
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/main/main.do HTTP/1.1" 200 19575
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/css/basic-jquery-slider.css HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/jquery/jquery.easing.1.3.js HTTP/1.1" 200 8301
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/css/mobile.css HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/jquery/stickysidebar.jquery.js HTTP/1.1" 200 4773
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/jquery/jquery-1.6.2.min.js HTTP/1.1" 200 91556
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/css/main.css HTTP/1.1" 200 20054
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/jquery/basic-jquery-slider.js HTTP/1.1" 200 9293
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/css/smartphone.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/css/tablet.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/jquery/tabs.js HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/jquery/carousel.js HTTP/1.1" 200 4183
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/image/Booktopia_Logo.jpg HTTP/1.1" 200 22622
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/imgs/body_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/image/n-pay.jpg HTTP/1.1" 200 57248
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/image/call_center_logo.jpg HTTP/1.1" 200 29903
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/image/QnA_logo.jpg HTTP/1.1" 200 15722
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/image/side_banner1.jpg HTTP/1.1" 200 73779
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/image/main_banner02.jpg HTTP/1.1" 200 67702
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/image/main_banner01.jpg HTTP/1.1" 200 53606
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/image/1px.gif HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:01 +0900] "GET /bookshop01/resources/image/main_banner03.jpg HTTP/1.1" 200 46814
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:02 +0900] "GET /bookshop01/thumbnails.do?goods_id=340&fileName=%EC%97%91%EC%85%80%EC%8B%A4%EB%AC%B4_%EB%A9%94%EC%9D%B8.pg.jpg HTTP/1.1" 200 25700
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:02 +0900] "GET /bookshop01/thumbnails.do?goods_id=356&fileName=%EB%A7%88%EC%9D%B8_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 34503
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:02 +0900] "GET /bookshop01/resources/imgs/nanum.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:02 +0900] "GET /bookshop01/resources/imgs/nav_back.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:02 +0900] "GET /bookshop01/thumbnails.do?goods_id=342&fileName=%EB%B6%80%EB%8F%99%EC%83%81%20%EC%83%81%EC%8B%9D%EC%82%AC%EC%A0%84_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 42398
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:02 +0900] "GET /bookshop01/resources/imgs/notice_h2.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:02 +0900] "GET /bookshop01/resources/imgs/vline_grey.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:02 +0900] "GET /bookshop01/thumbnails.do?goods_id=339&fileName=%EC%8B%9C%EB%82%98%EA%B3%B5%20%EC%9B%8C%EB%93%9C%ED%94%84%EB%A1%9C%EC%84%B8%EC%84%9C%20%EC%8B%A4%EA%B8%B0_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 55019
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:02 +0900] "GET /bookshop01/resources/imgs/nanum.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:02 +0900] "GET /bookshop01/resources/imgs/notice_li.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:20:21:02 +0900] "GET /bookshop01/thumbnails.do?goods_id=354&fileName=%EB%AA%A8%EB%91%90%EC%9D%98%20%EB%94%A5%EB%9F%AC%EB%8B%9D_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 37198
